Genesis 1:1	Mwanzo hapo, Mungu aliumba mbingu na dunia.
Mark 9:32	Wanafunzi wake hawakuelewa ambalo alikuwa anasema. Wakaogopa kumwuliza.
Mark 9:33	Yesu na wanafunzi wake wakafika katika mji wa Kapernaumu. Ambapo waliingia katika nyumba, Yesu akawauliza kwamba, “Mlikuwa mnabishana nini katika njia?”
Mark 9:34	Ndipo wanafunzi wake wakanyamaza, kwa kuwa walikuwa wamebishana wenyewe kwa wenyewe kwenye njia kwamba nani kati yao alikuwa mkubwa kupita wenzake wote.
Mark 9:35	Yesu akakaa chini, akawaita wanafunzi wake kumi na wawili. Akawaambia kwamba, “Mtu ambaye anataka awe mkuu kwa wote, anatakiwa kujishusha chini, na kuwa mtumishi kwa wote.”
Mark 9:36	Akachukua mtoto mdogo, akamsimamisha katikati yao. Akamkumbatia, akawaambia kwamba,
Mark 9:37	“Mtu yeyote ambaye anapokea mtoto kama huyu kwa jina langu, ananipokea mimi. Tena yeyote ambaye ananipokea mimi, hanipokei mimi mwenyewe, ila anampokea yule ambaye amenituma.”
Mark 9:38	Yohana akamwambia Yesu kwamba, “Mwalimu, tulimwona mtu anafukuza mapepo kwa jina lako. Tukamkataza, kwa kuwa hayuko pamoja nasi.”
Mark 9:39	Lakini Yesu akasema kwamba, “Msimkataze mtu kama huyo. Hakuna mtu ambaye anafanya muujiza kwa jina langu, kisha tena aniseme vibaya.
Mark 9:40	Mtu ambaye hatupingi, yuko pamoja na sisi.
Mark 9:41	Kweli ninawaambia kwamba, mtu yeyote ambaye atawapa hata maji ya kunywa kwa sababu ninyi ni watu wa Kristo, Mungu hatasahau kumpa tuzo lake.”
Mark 9:42	Yesu akaendelea kusema kwamba, “Lakini kama mtu yeyote anampoteza mmoja katika wadogo hawa ambao wananiamini, ingekuwa vema kwake afungiwe jiwe kubwa la kusagia shingoni na kutupwa katika bahari.
Mark 9:43	Tena, mkono wako ukikusababisha kufanya dhambi, uukate. Ni heri uingie katika uzima wa milele na ulemavu wa mkono mmoja, kuacha kuwa na mikono miwili na kwenda kuzimu katika moto wa Jehanamu. [
Mark 9:44	Huko ndiko funza wake hawafi, na moto wake hauzimiki.]
Mark 9:45	Mguu wako ukikusababisha kufanya dhambi, uukate. Ni heri uingie katika uzima wa milele na ulemavu wa mguu mmoja, kuacha kuwa na miguu miwili na kutupwa kuzimu katika moto wa Jehanamu. [
Mark 9:46	Huko ndiko funza wake hawafi, na moto wake hauzimiki.]
Mark 9:47	Jicho lako likikusababisha kufanya dhambi, ulingʼoe. Ni heri uingie katika ufalme wa Mungu na ulemavu wa jicho moja, kuacha kuwa na macho mawili na kutupwa kuzimu katika moto wa Jehanamu.
Mark 9:48	Huko ndiko funza wake hawafi, na moto wake hauzimiki.
Mark 9:49	“Mungu atampitisha kila mtu katika mateso ambayo yanafanana na moto, kama nyama inapakwa na chumvi kabla ya kutambikiwa.
Mark 9:50	Chumvi ni kitu kizuri. Lakini kama chumvi imeharibika, vipi inaweza kupata ladha tena? Na ninyi muwe kama chumvi ambayo imekolea, muwe na maelewano wenyewe kwa wenyewe.”
Mark 10:1	Ndipo Yesu na wanafunzi wake wakaondoka kule Kapernaumu, wakaenda katika mkoa wa Yudea. Wakapita na kuvuka ngʼambo ya mto wa Yordani. Makundi ya watu wengi yakawa yanamzunguka tena, na alikuwa anawafundisha kama ambavyo alizoea kufanya.
Mark 10:2	Basi, Mafarisayo wakaja kumjaribu. Wakamwuliza kwamba, “Je, sheria za Musa zinaruhusu mwanaume kumtaliki mke wake?”
Mark 10:3	Yesu akawajibu kwamba, “Musa aliagiza sheria gani?”
Mark 10:4	Wakamjibu wakasema kwamba, “Musa alikubali kwamba mume amwandikie mke wake barua ya talaka.”
Mark 10:5	Hapo Yesu akawaambia kwamba, “Musa aliwaandikia agizo hilo kwa sababu ya ugumu wa mioyo yenu.
Mark 10:6	Lakini, tangu mwanzo wa kuumbwa nchi, Mungu aliumba mwanaume na mwanamke.
Mark 10:7	‘Kwa sababu hiyo, mwanaume atawaacha baba yake na mama yake, ataungana na mke wake.
Mark 10:8	Wawili hao watakuwa mwili mmoja.’ Kwa hiyo hawatakuwa wawili tena, bali wamekuwa mwili mmoja.
Mark 10:9	Basi, ambacho kimeunganishwa na Mungu, mtu asikitenganishe.”
Mark 10:10	Ambapo waliingia tena katika nyumba, wanafunzi wake wakamwuliza juu ya habari hiyo.
Mark 10:11	Yesu akawaambia kwamba, “Mtu ambaye anamfukuza mke wake na kumwoa mwanamke mwingine, anamfanyia uzinzi mke wa kwanza.
Mark 10:12	Na mke ambaye anamwacha mume wake na kuolewa na mume mwingine, naye anazini.”
Mark 10:13	Watu walikuwa wanamletea Yesu watoto wadogo, awawekee mikono awabariki. Lakini wanafunzi wake wakawakemea wazazi hao.
Mark 10:14	Ambapo Yesu aliwaona wanafunzi wake wanafanya hivyo, akakasirika. Akawaambia kwamba, “Muache watoto wadogo waje kwangu! Musiwakataze, kwa kuwa ufalme wa Mungu ni wa watu kama watoto hawa.
Mark 10:15	Kweli ninawaambia kwamba, yeyote ambaye hakubali ufalme wa Mungu kama mtoto mdogo, huyo atashindwa kuingiamo.”
Mark 10:16	Ndipo akawakumbatia watoto hao, akawawekea mikono yake, akawabariki.
Mark 10:17	Ambapo Yesu na wanafunzi wake walianza kuondoka, mtu mmoja akamkimbilia, akapiga magoti chini mbele yake. Akamwuliza Yesu kwamba, “Mwalimu mwema, nifanye nini ili katika siku ya mwisho nipate uzima wa milele?”
Mark 10:18	Yesu akamjibu kwamba, “Mbona unaniita mwema? Hayupo mtu yeyote mwema, ila Mungu peke yake!
Mark 10:19	Unajua maagizo ya Mungu, ‘Usiue, usizini, usiibe, usiseme uongo, usidanganye, uheshimu baba yako na mama yako.’”
Mark 10:20	Mtu yule akasema kwamba, “Mwalimu, haya yote nimeyashika tangu katika utoto wangu.”
Mark 10:21	Yesu akamwangalia, akampenda, akamwambia kwamba, “Umepungukiwa kitu kimoja. Nenda ukauze vitu vyote ambavyo unavyo, na pesa hizo ugawie maskini. Ukifanya hivyo, utakuwa umejiwekea mali mbinguni. Kisha uje, unifuate.”
Mark 10:22	Lakini, ambapo alisikia hivyo, akasikitika katika moyo. Akaondoka amehuzunika sana, kwa sababu alikuwa na mali nyingi sana.
Mark 10:23	Yesu akawakazia macho watu huku na huku, akawaambia wanafunzi wake kwamba, “Itakuwa vigumu matajiri kuingia katika ufalme wa Mungu.”
Mark 10:24	Wanafunzi wake wakashangaa kwa maneno yake. Yesu akawaambia tena kwamba, “Watoto wangu, tazameni jinsi ni vigumu kuingia katika ufalme wa Mungu.
Mark 10:25	Ni rahisi kwa ngamia kupenya katika tundu la sindano kuliko tajiri kuingia katika ufalme wa Mungu.”
Mark 10:26	Wanafunzi wake wakazidi kushangaa sana kwa neno hilo. Walikuwa wanaulizana wao kwa wao kwamba, “Basi, ni nani anaweza kuokolewa?”
Mark 10:27	Yesu akawaangalia, akawaambia akasema kwamba, “Kwa watu hayawezekani, lakini kwa Mungu yanawezekana, kwa kuwa kwa Mungu yote yanawezekana.”
Mark 10:28	Petro akamwambia kwamba, “Tazama, sisi tumeacha vitu vyetu vyote, tukakufuata.”
Mark 10:29	Ndipo Yesu akasema kwamba, “Kweli ninawaambia kwamba, mtu yeyote ambaye ameacha nyumba yake, au ndugu zake, au dada zake, au mama na baba yake, au watoto wake, au mashamba yake kwa ajili yangu na kwa ajili ya Habari Njema,
Mark 10:30	atapokea vingi sana kuzidi alivyoacha. Sasa kwenye wakati huo atapokea nyumba, kaka, dada, mama, watoto na mashamba. Pamoja na yale yote, atakuwa na mateso. Na katika ulimwengu ambao unakuja, atapokea uzima wa milele.
Mark 10:31	Lakini wengi walio wa kwanza watakuwa wa mwisho, na walio wa mwisho watakuwa wa kwanza.”
Mark 10:32	Ambapo Yesu na wanafunzi wake walikuwa njiani kwenda katika mji wa Yerusalemu, Yesu alikuwa anatangulia mbele yao. Wanafunzi wa Yesu wakashangaa, na watu wengine ambao walikuwa wanamfuata, walikuwa na hofu. Yesu akawaita tena pembeni wanafunzi wake kumi na wawili, akaanza kuwaambia ambayo yatamkuta.
Mark 10:33	Akasema kwamba, “Tazama, tunakwenda Yerusalemu. Huko, mimi Mwana wa Mtu nitashikwa na kupelekwa kwa wakuu wa makuhani na walimu wa sheria za Musa. Nao watanihukumu niuawe. Tena, watanipeleka kwa wasio Wayahudi.
Mark 10:34	Watu hao watanidhihaki na kunitemea mate. Watanipiga na mijeledi na kuniua. Lakini, siku ya tatu, nitafufuka.”
Mark 10:35	Yakobo na Yohana, watoto wa Zebedayo, wakamsogelea Yesu wakamwambia kwamba, “Mwalimu, tunaomba utufanyie lolote ambalo tutakuomba.”
Mark 10:36	Yesu akawauliza kwamba, “Mnataka niwafanyie nini?”
Mark 10:37	Wakamwambia kwamba, “Wakati utaanza kutawala katika utukufu wako, tunakuomba tukae pamoja nawe, mmoja upande wa kulia na mwingine upande wa kushoto.”
Mark 10:38	Yesu akawaambia kwamba, “Hamjui ambacho mnaomba. Je mnaweza kunywa kikombe cha mateso ambacho ninakwenda kunywa, au mnaweza kubatizwa ubatizo wa kufa ambao nitabatizwa mimi?”
Mark 10:39	Wakamjibu kwamba, “Tunaweza.” Yesu akawaambia kwamba, “Kweli, mtakinywea kikombe cha mateso ambayo mimi nitateseka, na kubatizwa ubatizo kama ambavyo mimi nitabatizwa.
Mark 10:40	Lakini, kumweka mtu akae pamoja nami, hiyo si kazi yangu. Bali Mungu atawapa wale ambao amewawekea tayari.”
Mark 10:41	Ambapo wanafunzi wenzao kumi walisikia hayo, wakaanza kuwachukia Yakobo na Yohana.
Mark 10:42	Ndipo Yesu akawaita pamoja, akawaambia kwamba, “Mnajua kwamba viongozi wa mataifa, wanawatawala watu wao kwa ukali, na wakuu wao wanawakandamiza vibaya.
Mark 10:43	Lakini isije ikawa hivyo kwenu. Mtu yeyote ambaye anataka awe mkuu katikati yenu, anatakiwa kuwa mtumishi wenu.
Mark 10:44	Tena, yule ambaye anataka kuwa wa kwanza katikati yenu, anatakiwa kuwa mtumwa wa wote.
Mark 10:45	Hata mimi, Mwana wa Mtu, sikuja kutumikiwa, bali nimekuja kuwatumikia watu na kutoa maisha yangu, ili niwakomboe watu wengi.”
Mark 10:46	Basi, wakafika katika mji wa Yeriko. Ambapo Yesu na wanafunzi wake na kundi kubwa la watu waliondoka katika Yeriko, wakamkuta mtu mmoja jina lake Bartimayo, mwana wa Timayo. Mtu huyo alikuwa kipofu. Alikaa pembeni mwa njia alikuwa anaomba pesa.
Mark 10:47	Ambapo alisikia kwamba Yesu wa Nazareti alikuwa anapita pale, akaanza kulia kwa sauti kubwa, “Ee Yesu, Mwana wa mfalme Daudi, nionee huruma!”
Mark 10:48	Watu wengi walikuwa wanamkemea kwamba anyamaze. Lakini yeye akazidi kulia kwa sauti kubwa sana, “Mwana wa mfalme Daudi, nionee huruma!”
Mark 10:49	Ndipo Yesu akasimama akasema kwamba, “Mwite aje hapa.” Wakamwita kipofu yule, wakamwambia kwamba, “Jipe moyo, simama! Anakuita.”
Mark 10:50	Naye akatupa koti lake chini, akasimama kwa haraka, akaenda kwa Yesu.
Mark 10:51	Yesu akamwuliza kwamba, “Unataka nikufanyie nini?” Kipofu yule akamjibu kwamba, “Mwalimu, nataka kuona.”
Mark 10:52	Yesu akasema kwamba, “Nenda nyumbani. Umepona kwa sababu umeniamini.” Hapo hapo, mtu huyo akaanza kuona, akamfuata Yesu kwenye njia.
Mark 11:1	Ambapo Yesu na wanafunzi wake walikaribia Yerusalemu, wakafika katika vijiji vya Bethfage na Bethania, kwenye mlima wa Mizeituni, Yesu akatuma wawili wao.
Mark 11:2	Akawaambia kwamba, “Nendeni katika kijiji kile kilicho mbele yenu. Muingiamo humo, mtakuta mwanapunda amefungwa, ambaye bado kupandwa na mtu. Mumfungue, mumlete hapa.
Mark 11:3	Na mtu yeyote akiwauliza kwamba, ‘Kwa nini mnafanya hivyo?’ mumwambie kwamba, ‘Bwana anamhitaji, atamrudisha sasa hivi.’”
Mark 11:4	Basi wakaenda, wakamkuta mwana punda amefungwa nje ya mlango kwenye njia kuu, wakamfungua.
Mark 11:5	Watu fulani kati ya ambao walisimama pale, wakawauliza wakasema kwamba, “Ninyi! Mnafanya nini hapo? Kwa nini mnamfungulia mwana punda huyo?”
Mark 11:6	Wanafunzi wale wakawajibu kama ambavyo Yesu alikuwa amewaambia kwamba, waseme. Basi wale watu wakawaruhusu.
Mark 11:7	Wanafunzi wale wakampeleka mwana punda kwa Yesu, na kutandika nguo zao juu ya punda huyo. Yesu akapanda, akakaa.
Mark 11:8	Watu wengi wakatandika nguo zao njiani, wengine wakakata matawi katika mashamba na kutandika kwenye njia.
Mark 11:9	Watu fulani walikuwa wanamtangulia Yesu, wengine walikuwa wanamfuata nyuma. Wote wakawa wanapaza sauti kubwa, wakisema kwamba, “Hosana! Amebarikiwa ambaye anakuja kwa jina la Bwana Mungu!
Mark 11:10	Ubarikiwe, ufalme wa babu yetu Daudi ambao unakuja! Hosana, Mungu ambaye yuko mbinguni!”
Mark 11:11	Yesu akaingia Yerusalemu, akaenda moja kwa moja, akaingia katika hekalu la Mungu. Akaangalia vizuri vitu vyote ambavyo vilikuwepo pale. Lakini kwa sababu ilikuwa jioni, akaondoka, akaenda Bethania pamoja na wanafunzi wake kumi na wawili.
Mark 11:12	Ambapo kesho yake Yesu na wanafunzi wake walikuwa wanatoka Bethania kurudi Yerusalemu, njaa ilimwuma.
Mark 11:13	Akaona mti mmoja kwa mbali, ambao huitwa mtini. Ulikuwa na majani mengi. Akausogelea aone kama ulikuwa na matunda. Ambapo alifika pale, akakuta hauna matunda, umejaa majani tu, kwa sababu wakati wa kuzaa matunda ulikuwa bado haujafika.
Mark 11:14	Basi akaambia mti ule kwamba, “Kuanzia leo hii mpaka milele, usizae matunda yako!” Wanafunzi wake wakasikia maneno hayo.
Mark 11:15	Ambapo walifika Yerusalemu, Yesu akaingia katika uwanja wa hekalu la Mungu. Ambapo aliingia humo, akakuta watu wengi ambao walikuwa wakinunua na kuuza vitu humo, akaanza kuwafukuza wote. Akapindua meza za ambao walikuwa wakibadilisha pesa, na kupindua na viti vya ambao walikuwa wakiuza njiwa.
Mark 11:16	Tena, hakumruhusu mtu yeyote wa kubeba kitu chochote cha kuuza kupita uwanja wa hekalu.
Mark 11:17	Kisha Yesu akawafundisha, akasema kwamba, “Je, haikuandikwa katika Maandiko Matakatifu kwamba, ‘Nyumba yangu itakuwa nyumba ya sala kwa watu wa mataifa yote’? Lakini ninyi, mmeifanya kuwa pango la wanyangʼanyi!”
Mark 11:18	Ambapo wakuu wa makuhani na walimu wa sheria za Musa walisikia hayo yote, wakaanza kutafuta njia ya kumwua, kwa kuwa walikuwa wanamwogopa, wakiona jinsi watu wote walikuwa wanashangazwa na mafundisho yake.
Mark 11:19	Ambapo jioni ilifika, Yesu na wanafunzi wake wakaondoka katika mji.
Mark 11:20	Asubuhi yake, wakati walikuwa wanarudi katika mji wa Yerusalemu, walikuta mtini ule umekauka kabisa kuanzia kwenye mizizi yake.
Mark 11:21	Petro akakumbuka maneno ambayo Yesu alisema, akamwambia kwamba, “Mwalimu, tazama! Mti ule ambao uliulaani, umekauka!”
Mark 11:22	Yesu akawaambia kwamba, “Mwaminini Mungu.
Mark 11:23	Kweli ninawaambia, kama mtu kweli anaamini na hana mashaka katika moyo wake, ambalo anasema litafanyika. Anaweza kuambia mlima huu kwamba, ‘Ngʼoka na kijitupa katika bahari,’ na hayo yatafanyika.
Mark 11:24	Kwa hiyo ninawaambia kwamba, ambapo mnasali mkiomba chochote, muwe na imani kwamba mumekipokea, na mtakipokea.
Mark 11:25	Lakini ambapo mnaomba, mumsamehe mtu yeyote ambaye amewakosea. Ndipo Baba yenu wa katika mbingu atawasamehe mabaya yenu. [
Mark 11:26	Lakini kama ninyi hamsamehe wengine, naye Baba yenu wa katika mbingu hatawasamehe dhambi zenu.]”
Mark 11:27	Yesu na wanafunzi wake wakafika tena Yerusalemu. Ambapo walikuwa wanatembea katika hekalu la Mungu, wakuu wa makuhani, walimu wa sheria za Musa na wakuu wa Wayahudi wakamwendea Yesu.
Mark 11:28	Wakamwuliza kwamba, “Yale ambayo unafanya, unafanya kwa mamlaka gani? Ni nani ambaye amekupa mamlaka hayo?”
Mark 11:29	Yesu akasema kwamba, “Na mimi nitawauliza jambo moja. Ikiwa mtanijibu hilo, na mimi nitawaambia ni kwa mamlaka gani ambayo ninafanya haya.
Mark 11:30	Je, mamlaka ya Yohana ya kubatiza watu, yalitoka wapi? Yalitoka kwa Mungu aliye mbinguni au yalitoka kwa watu? Mnijibu!”
Mark 11:31	Ndipo wakaanza kujadiliana kwamba, “Kama tukimjibu kwamba, yalitoka mbinguni, atatuuliza kwamba, ‘Basi, kwa nini hamkumwamini?’
Mark 11:32	Lakini, tukisema kwamba, ‘Ilitoka kwa watu,’ watu watatukasirikia.” Walikuwa wanaogopa watu, kwa sababu watu wote walimwamini Yohana alikuwa nabii wa kweli.
Mark 11:33	Basi, wakamjibu Yesu kwamba, “Sisi hatujui.” Naye akawaambia kwamba, “Na mimi siwaambii ninafanya mambo haya kwa mamlaka gani.”
Mark 12:1	Yesu akaanza kuongea na viongozi wa Wayahudi wale kwa mifano. Akasema kwamba, “Kulikuwa na mtu mmoja ambaye alilima shamba la mizabibu. Akalizungushia ukuta pembeni, akachimba kisima cha kusindikia mizabibu ile. Akajenga mnara mrefu wa ulinzi katika shamba. Hatimaye, akakodishia shamba wakulima fulani, akaondoka kwenye safari.
Mark 12:2	Wakati wa kuchuma zabibu ukafika, akamtuma mmoja wa watumishi wake kwa wakulima wale, ili wampe mgawo wake wa mavuno kutoka katika shamba lake.
Mark 12:3	Lakini, wakulima wale wakamshika mtumishi yule, wakampiga na kumrudisha mikono mitupu.
Mark 12:4	Mwenye shamba akamtuma mtumishi wake mwingine kwa wakulima wale. Naye wakampiga na kumjeruhi vibaya kwenye kichwa, na kumtendea vibaya sana.
Mark 12:5	Akamtuma mtumishi wake mwingine, naye huyo wakulima wale wakamwua. Aliwatuma watumishi wake wengine wengi. Wengine walimpiga, wengine waliwaua.
Mark 12:6	Mwenye shamba akabaki na mtu mmoja tu, mtoto wake mpendwa. Mwishowe akatuma mtoto huyo, akijisemea kwamba, ‘Huyu ni mtoto wangu, yeye watamheshimu.’
Mark 12:7	“Lakini, wakati ambapo alifika, wakulima wale wakaambizana kwamba, ‘Huyu ni mrithi wa shamba hili. Sasa, tumwue. Urithi wake huu utakuwa wetu.’
Mark 12:8	Ndipo wakamkamata, wakamwua, wakamtupa nje ya shamba lile la mizabibu.”
Mark 12:9	Yesu akawauliza kwamba, “Sasa, mwenye shamba huyo atafanya nini? Atakuja na kuwaua wakulima wale, na shamba hilo, atawakodishia watu wengine.
Mark 12:10	Hivi, hamjasoma Maandiko Matakatifu haya? ‘Jiwe ambalo wajenzi wamekataa, ndilo limekuwa ni jiwe kuu la msingi.
Mark 12:11	Bwana Mungu ndiye amefanya haya, nayo yanashangaza kwetu.’”
Mark 12:12	Wakuu wa makuhani, walimu wa sheria za Musa na wakuu wa Wayahudi, wakatambua kwamba mfano ule unawaongelea wao. Ndipo wakataka kumshika, lakini kwa kuwa waliliogopa kundi la watu, wakaacha, wakaondoka.
Mark 12:13	Ndipo viongozi wa Wayahudi wakatuma Mafarisayo fulani na watu ambao walijiunga na familia ya mfalme Herode, wamnase Yesu kulingana na maneno yake mwenyewe.
Mark 12:14	Wakamwendea Yesu, wakamwambia kwamba, “Mwalimu, tunajua kwamba wewe ni mtu wa kweli. Tunajua kwamba wewe huogopi mtu yeyote, hata akiwa na cheo cha juu. Unafundisha njia ya Mungu kwa ukweli. Je, ni halali sisi kulipa kodi kwa Kaisari, au la?
Mark 12:15	Tumpe au tusimpe?” Lakini Yesu alitambua unafiki wao, akawaambia kwamba, “Mbona mnanijaribu kuninasa? Nileteeni pesa niione.”
Mark 12:16	Ndipo wakampelekea, akawauliza kwamba, “Sura ya mtu aliye katika pesa hiyo, ni ya nani? Tena, jina hili la nani?” Wakamjibu wakasema kwamba, “Vya Kaisari mwenyewe.”
Mark 12:17	Yesu akawaambia kwamba, “Vya Kaisari mpeni Kaisari, na vya Mungu mpeni Mungu.” Wote wakamshangaa sana.
Mark 12:18	Kulikuwa na kikundi kimoja cha Wayahudi ambacho kinaitwa Masadukayo. Wao walikuwa wanasema kwamba hakuna kufufuka kwa wafu. Siku moja, baadhi yao wakaenda kwa Yesu, wakamwuliza kwamba,
Mark 12:19	“Mwalimu, Musa alituandikia katika sheria zake kwamba, kama mtu amekufa na kumwacha mke wake hajazaa mtoto, mdogo wake amrithi mjane huyo, amzalie watoto marehemu.
Mark 12:20	Sasa, tuseme kwamba wakati fulani walikuwepo ndugu saba. Wa kwanza alioa mwanamke, akafa akiwa hajazaa mtoto.
Mark 12:21	Wa pili akamrithi mwanamke yule, lakini naye akafa, hakuacha mtoto. Tena wa tatu ikawa hivyo.
Mark 12:22	Wote saba wakafa, hawajaacha mtoto. Mwishowe, naye mwanamke yule akafa.
Mark 12:23	Sasa tuambie, kama wafu watafufuka, mwanamke huyo atakuwa mke wa nani? Wale wote saba walimwoa na kumrithi!”
Mark 12:24	Yesu akawaambia kwamba, “Ninyi mnapotea sana, kwa sababu hamjui ambayo yameandikwa katika Maandiko Matakatifu, tena hamjui uwezo wa Mungu jinsi ulivyo.
Mark 12:25	Ambapo wafu watafufuka, hawataoa wala kuolewa kabisa. Watakuwa kama malaika wa Mungu mbinguni, ambao wenyewe hawaoi wala kuolewa.
Mark 12:26	Na juu ya wafu kufufuka, hamjawahi kusoma katika kitabu cha Musa, jinsi Mungu alisema pale katika kichaka ambacho kinawaka moto? Pale, Mungu alimwambia Musa kwamba, ‘Mimi ni Mungu wa Abrahamu, na Mungu wa Isaka, na Mungu wa Yakobo.’
Mark 12:27	Basi, si Mungu wa wafu, bali wa watu ambao wako hai. Ninyi mmepotea sana.”
Mark 12:28	Ambapo Yesu alikuwa anabishana na Masadukayo, mwalimu mmoja wa sheria za Musa akafika, akasikia ambacho wanabishana. Ambapo alisikia kwamba Yesu amewajibu vizuri, akamwuliza kwamba, “Katika sheria zote, ya kwanza ni ipi?”
Mark 12:29	Yesu akamjibu kwamba, “Ya kwanza ndiyo hii, ‘Sikilizeni ninyi Waisraeli! Bwana Mungu wetu, ndiye Bwana pekee.
Mark 12:30	Umpende Bwana Mungu wako kwa moyo wako wote, kwa roho yako yote, kwa akili yako yote na kwa nguvu yako yote.’
Mark 12:31	Na sheria ya pili ndiyo hii, ‘Umpende mwenzako, kama ambavyo unajipenda mwenyewe.’ Hakuna sheria nyingine kuu kuzidi mbili hizo.”
Mark 12:32	Mwalimu wa sheria huyo akamwambia Yesu kwamba, “Safi mwalimu! Umesema ukweli kwamba Mungu ni mmoja tu, hakuna mwingine, ila yeye mwenyewe.
Mark 12:33	Tena ninajua kwamba inatakiwa kumpenda Mungu kwa moyo wote, kwa akili yote na kwa nguvu yote, na kumpenda mwenzako kama ambavyo unajipenda mwenyewe. Hayo ndiyo maagizo makuu sana. Mambo haya ni makuu kufanya kuzidi kutoa sadaka zote za kuteketeza na dhabihu zote nyingine.”
Mark 12:34	Ambapo Yesu aliona kwamba mtu huyo amejibu kwa busara, akamwambia kwamba, “Wewe hauko mbali na kuingia katika ufalme wa Mungu.” Tangu wakati huo, hakuwepo mtu hata mmoja ambaye alithubutu kumwuliza Yesu maswali mengine.
Mark 12:35	Ambapo Yesu alikuwa anawafundisha watu katika hekalu la Mungu, akawaambia kwamba, “Kwa nini walimu wa sheria za Musa wanasema kwamba Kristo ni Mwana wa mfalme Daudi?
Mark 12:36	Daudi mwenyewe akiongozwa na Roho Mtakatifu, alisema kwamba, ‘Bwana Mungu alimwambia Bwana wangu, “Kaa upande wangu wa kulia, mpaka ambapo nitaweka adui zako chini ya miguu yako.”’
Mark 12:37	“Daudi mwenyewe anamwita Kristo, ‘Bwana,’ sasa vipi Kristo ni mwana wake?” Watu wa kundi kubwa hilo walikuwa wanamsikiliza Yesu kwa furaha.
Mark 12:38	Katika mafundisho yake mengine, Yesu akasema kwamba, “Jihadharini na walimu wa sheria za Musa. Hawa wanapenda kutembea wamevaa kanzu ndefu, na kusalimiwa kwa heshima katika masoko.
Mark 12:39	Katika masinagogi, wanapenda kukaa katika viti vya mbele, na katika sherehe wanapenda kukaa mahali pa wakuu.
Mark 12:40	Wananyangʼanya wajane vitu vyao vyote, wanajifanya ni watu wanyofu kwa kuomba maombi marefu mbele ya watu. Watu hao, Mungu atawahukumu vikali sana!”
Mark 12:41	Yesu akakaa karibu na chombo cha kutolea sadaka katika hekalu la Mungu. Alikuwa anatazama watu wakitoa sadaka katika chombo kile. Matajiri wengi walikuwa wanatoa pesa nyingi.
Mark 12:42	Akaja mwanamke mmoja mjane maskini, naye akatoa sarafu mbili ndogo tu.
Mark 12:43	Ambapo Yesu aliona hayo, akawaita wanafunzi wake, akawaambia kwamba, “Kweli ninawaambia kwamba, mjane masikini huyu ametoa katika chombo pesa nyingi kuzidi watu wote.
Mark 12:44	Kwa kuwa watu wengine wote wametoa kutoka vile ambavyo hawavihitaji. Lakini mjane maskini huyu, ametoa vitu vyote ambavyo alivihitaji katika maisha yake!”
Mark 13:1	Ambapo Yesu alikuwa anatoka katika hekalu la Mungu pamoja na wanafunzi wake, mwanafunzi wake mmoja akasema kwamba, “Mwalimu, yaangalie mawe makubwa haya na majumba makubwa haya ambavyo yanashangaza!”
Mark 13:2	Yesu akajibu kwamba, “Unashangaa majengo makubwa haya? Hakuna jiwe ambalo litabaki juu ya lingine, yote yatabomolewa!”
Mark 13:3	Ambapo Yesu alikuwa amekaa kwenye mlima wa Mizeituni, ameona hekalu la Mungu, Petro, Yakobo, Yohana na Andrea wakaja kwake. Wakamwuliza ambapo walikuwa wenyewe pekee,
Mark 13:4	“Tunaomba utuambie, ambayo unasema yatatokea lini? Ni ishara gani ambayo itaonyesha kwamba hayo yako karibu kutokea?”
Mark 13:5	Ndipo Yesu akaanza kuwaambia kwamba, “Mjihadhari, mtu yeyote asije akawadanganya!
Mark 13:6	Watu wengi watakuja kwa jina langu, watasema kwamba, ‘Mimi ni Kristo!’ Watawadanganya watu wengi.
Mark 13:7	Ambapo ninyi mnasikia juu ya vita na tetesi za vita, msiogope. Hayo yanapaswa kutokea, lakini mwisho utakuwa bado.
Mark 13:8	Nchi moja itapigana na nchi nyingine, ufalme mmoja utapigana na ufalme mwingine. Kutakuwa na matetemeko ya nchi hapa na pale, na sehemu zingine zitakuwa na njaa. Hayo yatakuwa mwanzo tu wa mateso, kama ambayo yanaumwa mwanamke ambaye anaanza kuzaa.
Mark 13:9	“Lakini ninyi, mjihadhari sana. Watu watawapeleka katika mabaraza na kuwapiga vibaya katika masinagogi. Watawapeleka kwa wakuu wa nchi na kwa wafalme kwa sababu yangu. Huo utakuwa wakati wa kushuhudia Habari Njema kwao.
Mark 13:10	Habari Njema inapaswa kuhubiriwa kwanza kwa watu wa mataifa yote.
Mark 13:11	Ambapo watu hao watawakamata na kuwapeleka katika mabaraza na kuwahukumu, msihangaike ambayo mtasema. Mseme ambayo Mungu atawapa wakati huo huo. Sio ninyi wenyewe ambao mtasema, kweli ni Roho Mtakatifu ambaye yuko ndani yenu ambaye atawasaidia kusema.
Mark 13:12	“Kwa wakati huo, itatokea kwamba ndugu atamsaliti ndugu yake ili auawe. Tena, baba atamsaliti mtoto ili auawe. Watoto nao, wataasi wazazi wao na kusababisha wauawe.
Mark 13:13	Watu wote watawachukia kwa sababu yangu. Lakini, yeyote ambaye atakuwa anavumilia mpaka mwisho, ndiye Mungu atamwokoa.
